Python实习生,昇腾技术,深圳·南山区·前海,5天/周6个月本科,Java,带薪年假，餐补，住房补贴，零食下午茶，节日福利，五险一金，股票期权,150-250元/天,https://www.zhipin.com/job_detail/f98d27a25f24f5701n1639m0ElFR.html
Python实习生,奢云,杭州·滨江区·长河,4天/周3个月本科,Python,,100-150元/天,https://www.zhipin.com/job_detail/7190215632b06c9a0nF709m9FFc~.html
Python实习生,课观教育,济南·历城区·汉峪金谷,4天/周3个月本科,网络爬虫技术,通讯补贴，零食下午茶，年终奖，带薪年假，五险一金，员工旅游，股票期权，定期体检，节日福利，住房补贴,100-150元/天,https://www.zhipin.com/job_detail/2f6d6dae6de7b54f1n16392-FVdQ.html
python实习生,蓝色光标数字营销机构,北京·朝阳区·酒仙桥,经验不限硕士,Python,通讯补贴，交通补助，零食下午茶，免费班车，带薪年假，年终奖，五险一金，节日福利，员工旅游，餐补，补充医疗保险,2-4K,https://www.zhipin.com/job_detail/9cc42a96569729330HN7396_EFM~.html
python爬虫实习生,绿盟科技,南京·雨花台区·铁心桥,5天/周3个月本科,网络爬虫技术,年终奖，通讯补贴，定期体检，餐补，节日福利，员工旅游，股票期权，年假递增，五险一金，加班补助，补充医疗保险，带薪年假,150-250元/天,https://www.zhipin.com/job_detail/87b988a004fcef001XZ539S_E1RV.html
Python开发（实习生）,慧博云通,北京·海淀区·中关村,7天/周3个月本科,Django,带薪年假，五险一金，节日福利，补充医疗保险，加班补助，年终奖，股票期权，定期体检,230-250元/天,https://www.zhipin.com/job_detail/d5fff762a7536ed91XZ-0t--FltW.html
python开发实习,蜗牛保险,上海·闵行区·华漕,4天/周3个月本科,MVC开发,补充医疗保险，五险一金，员工旅游，节日福利，健身房篮球场，零食下午茶，餐补，带薪年假,250-300元/天,https://www.zhipin.com/job_detail/3d792863b0e9419d1nFz39u_EFZV.html
python开发工程师(实习),墨云科技,北京·海淀区·上地,5天/周3个月本科,后端,零食下午茶，定期体检，节日福利，餐补，年终奖，带薪年假，加班补助，五险一金，股票期权,200-400元/天,https://www.zhipin.com/job_detail/554fe011b68183951nJ60tW9FVJS.html
Python,凯墨网络,青岛·黄岛区·唐岛湾,在校/应届大专,游戏开发,零食下午茶，五险一金，加班补助，住房补贴，补充医疗保险,5-10K,https://www.zhipin.com/job_detail/580031062ffc0ce81nJ73dS6E1BV.html
python+layui全栈前后端开发工程师,锐捷网络,福州·闽侯县·新西客站,4天/周3个月学历不限,Linux,定期体检，零食下午茶，节日福利，加班补助，餐补，员工旅游，五险一金，通讯补贴，包吃，补充医疗保险，年终奖，带薪年假，交通补助，免费班车,110-150元/天,https://www.zhipin.com/job_detail/1674ada6240a2af01XV62t6_EFZQ.html
Python Developer-AI Team,亦恺,上海·静安区·静安寺,5-10年本科,SQL,五险一金，住房补贴，零食下午茶，加班补助，节日福利，通讯补贴，带薪年假，年终奖，员工旅游,12-20K·13薪,https://www.zhipin.com/job_detail/00bd2ac554bf202d1nF53NS8EVVV.html
